id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30913192,Home in San Francisco · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,231021347,Helen,,Outer Sunset,37.74756,-122.48026,Private room,46,30,14,7/31/2023,0.28,4,364,2,
30913576,Home in San Francisco · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,231021347,Helen,,Outer Sunset,37.74924,-122.48235,Private room,50,30,8,12/20/2022,0.15,4,304,2,
30913907,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,231021347,Helen,,Outer Sunset,37.74882,-122.48012,Shared room,32,30,11,8/15/2023,0.2,4,365,3,
30931569,Rental unit in San Francisco · ★4.33 · 2 bedrooms · 2 beds · 2 baths,694377,Beatrice,,Marina,37.79699,-122.4333,Entire home/apt,125,30,3,7/29/2021,0.08,18,364,0,
30957039,Rental unit in San Francisco · 1 bedroom · 2 beds · 1 bath,91333416,Jan,,Haight Ashbury,37.76281,-122.44959,Entire home/apt,117,30,1,5/24/2019,0.02,25,244,0,
30984623,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,231490242,Teresa,,Inner Richmond,37.77642,-122.44912,Entire home/apt,159,30,0,,,1,0,0,
31017581,Home in San Francisco · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,20536324,Shannon,,West of Twin Peaks,37.73389,-122.45869,Private room,100,6,20,8/19/2023,0.35,2,89,3,STR-0004209
31055670,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 bath,231980369,M.,,Noe Valley,37.7435,-122.43544,Entire home/apt,195,7,99,8/7/2023,1.74,2,0,18,STR-0003607
31057117,Home in San Francisco · ★4.93 · 1 bedroom · 2 beds · 1 private bath,29112772,John,,Mission,37.75848,-122.40677,Private room,114,2,197,8/18/2023,3.46,2,2,66,STR-0004544
31072163,Guesthouse in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,160781622,Portia,,Western Addition,37.77036,-122.42745,Entire home/apt,155,3,4,8/26/2023,3.33,1,3,4,City registration pending
31072911,Guest suite in San Francisco · ★4.86 · 3 bedrooms · 4 beds · 2 baths,25116424,Jacky,,Inner Sunset,37.7571,-122.45507,Entire home/apt,1250,3,22,5/9/2022,0.39,4,100,0,STR-0004481
31100295,Rental unit in San Francisco · ★4.95 · 4 bedrooms · 9 beds · 1.5 baths,52462563,Mirek,,Nob Hill,37.79396,-122.41001,Entire home/apt,299,30,40,8/15/2021,0.71,3,243,0,1096191
31120211,Home in San Francisco · ★4.82 · 1 bedroom · 2 beds · 1 bath,7074942,Cyn,,Outer Sunset,37.75744,-122.48451,Entire home/apt,195,2,327,8/26/2023,5.8,1,146,57,STR-0004659
31123927,Guest suite in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1 bath,232610653,Mary Clare,,Inner Richmond,37.78297,-122.46461,Entire home/apt,120,2,188,8/27/2023,3.48,1,164,33,STR-0003816
31124126,Home in San Francisco · ★4.74 · 1 bedroom · 2 beds · 1 shared bath,208750284,Dongmei,,Bayview,37.73862,-122.3979,Private room,57,1,263,8/21/2023,4.61,3,243,73,2023-006856STR
31124810,Home in San Francisco · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,208750284,Dongmei,,Bayview,37.73685,-122.39914,Private room,51,1,309,8/26/2023,5.42,3,334,90,2023-006856STR
